#,Year,Local_Price,Dollar_Ex,Dollar_Price,Dollar_PPP,DollarUSA
1,2000,39.5,28.5,1.39,15.74,2.51
2,2001,35,28.9,1.21,21.65,2.54
3,2002,39,31.2,1.25,15.66,2.49
4,2003,41,31.1,1.31,15.13,2.71
5,2004,42,29,1.45,14.48,2.9
6,2005,42,28.41,1.48,13.73,3.06
7,2006,48,27.06,1.77,15.48,3.1
8,2007,52,25.65, 2.03,15.25,3.41
9,2008,59,23.23,2.54,16.53,3.57
10,2009,67,32.8,2.04,18.77,3.57
11,2010,71,30.44,2.33,19.02,3.73
12,2011,75,27.75,2.7,18.45,4.07
13,2012,75,32.77,2.29,17.33,4.33
14,2013,87,32.94,2.64, 19.09,4.56
15,2014,89,34.84,2.55,18.56,4.8
16,2015,107,56.82,1.88,22.34,4.79
17,2016,130,63.41,2.05,25.8,5.04